Training.Pop,Valid.Pop,Fst,Accuracy
C2-US,C2-SK,0.49,0.31
C2-US,C2-GRIN,0.37,0.08
C2-US,OH-US,0,0.25
C2-SK,C2-US,0.49,0.28
C2-SK,C2-GRIN,0.14,0.56
C2-SK,OH-SK,0,0.67
C2-SK,2016-SK,0.03,0.45
C2-GRIN,C2-US,0.37,0.17
C2-GRIN,C2-SK,0.14,0.49
C2-GRIN,OH-GRIN,0,0.72
OH-US,OH-SK,0.49,0.11
OH-US,OH-GRIN,0.38,0.59
OH-US,C2-US,0,0.34
OH-SK,OH-US,0.49,0.08
OH-SK,OH-GRIN,0.38,0.56
OH-SK,C2-SK,0,0.65
OH-SK,2016-SK,0.03,0.52
OH-GRIN,OH-US,0.38,0.17
OH-GRIN,OH-SK,0.38,0.49
OH-GRIN,C2-GRIN,0,0.73
