Train,Valid,Train He ,Valid He,Fst,Num Train,Num Valid,Acc.
2018-C2,2018-OH,0.3,0.32,0,495,478,0.69
2018-OH,2018-C2,0.32,0.3,0,478,495,0.68
2016-SK,OH.SK,0.23,0.23,0.03,797,158,0.6
2016-SK,C2.SK,0.23,0.23,0.03,797,162,0.64
2016-SK,OH.US,0.23,0.23,0.46,797,170,0.1
2018-C2,2016-SK,0.3,0.23,0.12,495,797,0.54
2018-OH,2016-SK,0.32,0.23,0.12,478,797,0.41
C2.GRIN,C2.US,0.39,0.23,0.37,153,180,0.17
C2.GRIN,C2.SK,0.39,0.23,0.14,153,162,0.49
C2.SK,C2.US,0.23,0.23,0.49,162,180,0.28
C2.SK,OH.SK,0.23,0.23,0,162,158,0.67
C2.SK - C2.GRIN,C2.US,0.34,0.23,0.37,315,180,0.29
C2.US,OH.US,0.23,0.23,0,180,170,0.25
C2.US,C2.SK,0.23,0.23,0.49,180,162,0.31
C2.US - C2.GRIN,C2.SK,0.36,0.23,0.23,333,162,0.53
OH.GRIN,OH.US,0.39,0.23,0.38,150,170,0.17
OH.GRIN,OH.SK,0.39,0.23,0.14,150,158,0.49
OH.SK,OH.US,0.23,0.23,0.49,158,170,0.09
OH.SK,C2.SK,0.23,0.23,0,158,162,0.65
OH.SK - OH.GRIN,OH.US,0.33,0.23,0.37,308,170,0.16
OH.US,OH.SK,0.23,0.23,0.49,170,158,0.11
OH.US,C2.US,0.23,0.23,0,170,180,0.34
OH.US -OH.GRIN,OH.SK,0.36,0.23,0.22,320,158,0.53
C2.GRIN,2016-SK,0.39,0.25,0.14,153,797,0.43
C2.SK,2016-SK,0.23,0.25,0.03,162,797,0.45
C2.US,2016-SK,0.23,0.25,0.46,180,797,0.03
OH.GRIN,2016-SK,0.39,0.25,0.15,150,797,0.49
OH.SK,2016-SK,0.23,0.25,0.03,158,797,0.52
OH.US,2016-SK,0.23,0.25,0.46,170,797,0.2
2016-SK,2018-C2,0.23,0.3,0.12,797,478,0.64
2016-SK,2018-OH,0.23,0.32,0.12,797,495,0.62
2016-SK,C2.US,0.23,0.39,0.46,797,180,0.32
2016-SK,OH.GRIN,0.23,0.39,0.15,797,150,0.69
2016-SK,C2.GRIN,0.23,0.39,0.14,797,153,0.71
C2.GRIN,OH.GRIN,0.39,0.39,0,153,150,0.72
C2.SK,C2.GRIN,0.23,0.39,0.14,162,153,0.56
C2.US,C2.GRIN,0.23,0.39,0.39,180,153,0.08
C2.US - C2.SK,C2.GRIN,0.32,0.39,0.13,342,153,0.6
OH.GRIN,C2.GRIN,0.39,0.39,0,150,153,0.73
OH.SK,OH.GRIN,0.23,0.39,0.14,158,150,0.49
OH.US,OH.GRIN,0.23,0.39,0.38,170,150,0.59
OH.US - OH.SK,OH.GRIN,0.31,0.39,0.13,328,150,0.67
